Table	Namespace		Field	Namespace	Key	Type	Calculated	Default Value	Related Table	Related Namespace	Corresponding Field	Corresponding Namespace	Record Deleted	Record Table	Record Field
ClosedLoopAuditMapper	CustomREST		From	CustomREST	N	String	Input						Delete record	Y	Y
ClosedLoopAuditMapper	CustomREST		To	CustomREST	N	String	Input						Delete record	Y	Y
ClosedLoopGenericDetail	CustomREST		IntegrationGroupID	CustomREST	Y	Reference	Input		ClosedLoopGenericSetup	CustomREST	ClosedLoopGenericDetails	CustomREST	Delete record	Y	Y
ClosedLoopGenericDetail	CustomREST		InterfaceName	CustomREST	Y	String	Input						Delete record	Y	Y
ClosedLoopGenericDetail	CustomREST		AuditTableName	CustomREST	N	String	Input						Delete record	Y	Y
ClosedLoopGenericDetail	CustomREST		EndPoint	CustomREST	N	String	Input						Delete record	Y	Y
ClosedLoopGenericDetail	CustomREST		Filter	CustomREST	N	String	Input						Delete record	Y	Y
ClosedLoopGenericDetail	CustomREST		PageSize	CustomREST	N	Integer	Input	999999999					Delete record	Y	Y
ClosedLoopGenericDetail	CustomREST		siteGroup	CustomREST	N	String	Input						Delete record	Y	Y
ClosedLoopGenericDetail	CustomREST		StepNum	CustomREST	N	Integer	Input						Delete record	Y	Y
ClosedLoopGenericDetail	CustomREST		Worksheet	CustomREST	N	String	Input						Delete record	Y	Y
ClosedLoopGenericSetup	CustomREST		ClosedLoopIntegrationGroupID	CustomREST	Y	Integer	Input						Delete record	Y	Y
ClosedLoopGenericSetup	CustomREST		ParentScenario	CustomREST	N	String	Input						Delete record	Y	Y
ClosedLoopGenericSetup	CustomREST		Workbook	CustomREST	N	String	Input						Delete record	Y	Y
ClosedLoopItems	CustomREST		Description	CustomREST	N	String	Input						Delete record	Y	Y
ClosedLoopItems	CustomREST		Item	CustomREST	N	String	Input						Delete record	Y	Y
ClosedLoopItems	CustomREST		ItemCategory	CustomREST	N	String	Input						Delete record	Y	Y
ClosedLoopItems	CustomREST		UoM	CustomREST	N	String	Input						Delete record	Y	Y
ClosedLoopMessage	CustomREST		Attribute0	CustomREST	N	String	Input						Delete record	Y	Y
ClosedLoopMessage	CustomREST		Attribute1	CustomREST	N	String	Input						Delete record	Y	Y
ClosedLoopMessage	CustomREST		Attribute2	CustomREST	N	String	Input						Delete record	Y	Y
ClosedLoopMessage	CustomREST		Attribute3	CustomREST	N	String	Input						Delete record	Y	Y
ClosedLoopMessage	CustomREST		Attribute4	CustomREST	N	String	Input						Delete record	Y	Y
ClosedLoopMessage	CustomREST		Attribute5	CustomREST	N	String	Input						Delete record	Y	Y
ClosedLoopMessage	CustomREST		Attribute6	CustomREST	N	String	Input						Delete record	Y	Y
